nom_cabina,calidad_aire,codi_dtes,zqa,codi_eoi,longitud,latitud,hora_o3,calidad_o3,valor_o3,hora_no2,calidad_no2,valor_no2,hora_pm10,calidad_pm10,valor_pm10,generat,dateTime
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,2h,Bona,51,2h,Buena,33,15/06/2018 3:00,1529024705
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,3h,Bona,36,,,,15/06/2018 4:00,1529028302
Eixample,Buena,IH,01,08019043,2.1538,41.3853,3h,Buena,31,3h,Bona,58,3h,Buena,34,15/06/2018 4:00,1529028302
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,2h,Buena,45,2h,Bona,50,3h,Buena,28,15/06/2018 4:00,1529028302
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,3h,Buena,32,3h,Bona,46,,,,15/06/2018 4:00,1529028302
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,3h,Buena,34,3h,Bona,47,3h,Buena,23,15/06/2018 4:00,1529028302
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,3h,Buena,38,3h,Bona,37,4h,Buena,23,15/06/2018 4:00,1529028302
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,3h,Bona,24,4h,Buena,33,15/06/2018 4:00,1529028302
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,3h,Bona,36,,,,15/06/2018 5:00,1529031905
Eixample,Buena,IH,01,08019043,2.1538,41.3853,4h,Buena,58,4h,Bona,23,4h,Buena,33,15/06/2018 5:00,1529031905
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,2h,Buena,45,2h,Bona,50,4h,Buena,29,15/06/2018 5:00,1529031905
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,4h,Buena,45,4h,Bona,34,,,,15/06/2018 5:00,1529031905
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,4h,Buena,21,4h,Bona,53,4h,Buena,23,15/06/2018 5:00,1529031905
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,4h,Buena,47,4h,Bona,25,4h,Buena,23,15/06/2018 5:00,1529031905
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,4h,Bona,38,4h,Buena,32,15/06/2018 5:00,1529031905
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,3h,Bona,36,,,,15/06/2018 6:00,1529035503
Eixample,Buena,IH,01,08019043,2.1538,41.3853,5h,Buena,57,5h,Bona,25,5h,Buena,33,15/06/2018 6:00,1529035503
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,3h,,,3h,,,5h,Buena,30,15/06/2018 6:00,1529035503
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,5h,Buena,52,5h,Bona,20,,,,15/06/2018 6:00,1529035503
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,5h,Buena,29,5h,Bona,44,5h,Buena,23,15/06/2018 6:00,1529035503
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,5h,Buena,40,5h,Bona,28,5h,Buena,23,15/06/2018 6:00,1529035503
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,5h,Bona,29,5h,Buena,32,15/06/2018 6:00,1529035503
Eixample,Buena,IH,01,08019043,2.1538,41.3853,6h,Buena,33,6h,Bona,41,6h,Buena,33,15/06/2018 7:00,1529039102
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,4h,,,4h,,,6h,Buena,30,15/06/2018 7:00,1529039102
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,6h,Buena,26,6h,Bona,39,,,,15/06/2018 7:00,1529039102
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,6h,Buena,32,6h,Bona,38,6h,Buena,23,15/06/2018 7:00,1529039102
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,6h,Buena,37,6h,Bona,33,6h,Buena,23,15/06/2018 7:00,1529039102
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,6h,Bona,45,6h,Buena,32,15/06/2018 7:00,1529039102
Eixample,Buena,IH,01,08019043,2.1538,41.3853,7h,Buena,30,7h,Bona,42,7h,Buena,33,15/06/2018 8:00,1529042705
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,7h,Buena,35,7h,Bona,43,7h,Buena,29,15/06/2018 8:00,1529042705
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,7h,Buena,21,7h,Bona,43,,,,15/06/2018 8:00,1529042705
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,7h,Buena,42,7h,Bona,24,8h,Buena,24,15/06/2018 8:00,1529042705
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,7h,Buena,44,7h,Bona,24,7h,Buena,23,15/06/2018 8:00,1529042705
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,7h,Bona,58,7h,Buena,33,15/06/2018 8:00,1529042705
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,8h,Bona,29,,,,15/06/2018 9:00,1529046303
Eixample,Buena,IH,01,08019043,2.1538,41.3853,8h,Buena,28,8h,Bona,43,8h,Buena,33,15/06/2018 9:00,1529046303
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,8h,Buena,33,8h,Bona,45,8h,Buena,29,15/06/2018 9:00,1529046303
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,8h,Buena,30,8h,Bona,35,,,,15/06/2018 9:00,1529046303
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,8h,Buena,42,8h,Bona,25,8h,Buena,24,15/06/2018 9:00,1529046303
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,8h,Buena,44,8h,Bona,24,8h,Buena,24,15/06/2018 9:00,1529046303
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,8h,Bona,48,8h,Buena,32,15/06/2018 9:00,1529046303
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,9h,Bona,33,,,,15/06/2018 10:00,1529049902
Eixample,Buena,IH,01,08019043,2.1538,41.3853,9h,Buena,19,9h,Bona,77,10h,Buena,35,15/06/2018 10:00,1529049902
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,9h,Buena,26,9h,Bona,55,10h,Buena,29,15/06/2018 10:00,1529049902
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,9h,Buena,36,9h,Bona,31,,,,15/06/2018 10:00,1529049902
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,9h,Buena,45,9h,Bona,18,9h,Buena,24,15/06/2018 10:00,1529049902
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,9h,Buena,46,9h,Bona,21,9h,Buena,24,15/06/2018 10:00,1529049902
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,8h,Bona,48,9h,Buena,31,15/06/2018 10:00,1529049902
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,10h,Bona,39,,,,15/06/2018 11:00,1529053503
Eixample,Buena,IH,01,08019043,2.1538,41.3853,10h,Buena,16,10h,Bona,69,10h,Buena,35,15/06/2018 11:00,1529053503
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,10h,Buena,25,10h,Bona,57,10h,Buena,29,15/06/2018 11:00,1529053503
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,10h,Buena,29,10h,Bona,37,,,,15/06/2018 11:00,1529053503
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,10h,Buena,35,10h,Bona,30,10h,Buena,24,15/06/2018 11:00,1529053503
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,10h,Buena,34,10h,Bona,33,10h,Buena,24,15/06/2018 11:00,1529053503
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,10h,Bona,54,10h,Buena,31,15/06/2018 11:00,1529053503
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,11h,Bona,41,,,,15/06/2018 12:00,1529057103
Eixample,Buena,IH,01,08019043,2.1538,41.3853,11h,Buena,18,11h,Bona,75,11h,Buena,35,15/06/2018 12:00,1529057103
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,11h,Buena,30,11h,Bona,54,11h,Buena,30,15/06/2018 12:00,1529057103
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,11h,Buena,50,11h,Bona,44,,,,15/06/2018 12:00,1529057103
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,11h,Buena,44,11h,Bona,23,11h,Buena,24,15/06/2018 12:00,1529057103
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,11h,Buena,41,11h,Bona,31,11h,Buena,24,15/06/2018 12:00,1529057103
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,11h,Bona,37,11h,Buena,31,15/06/2018 12:00,1529057103
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,12h,Bona,58,,,,15/06/2018 13:00,1529060703
Eixample,Buena,IH,01,08019043,2.1538,41.3853,12h,Buena,28,12h,Bona,80,12h,Buena,35,15/06/2018 13:00,1529060703
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,12h,Buena,32,12h,Bona,73,12h,Buena,30,15/06/2018 13:00,1529060703
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,12h,Buena,52,12h,Bona,27,,,,15/06/2018 13:00,1529060703
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,12h,Buena,45,12h,Bona,22,12h,Buena,25,15/06/2018 13:00,1529060703
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,12h,Buena,38,12h,Bona,46,12h,Buena,24,15/06/2018 13:00,1529060703
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,12h,Bona,26,12h,Buena,31,15/06/2018 13:00,1529060703
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,12h,Bona,58,,,,15/06/2018 14:00,1529064302
Eixample,Buena,IH,01,08019043,2.1538,41.3853,13h,Buena,38,13h,Bona,77,13h,Buena,35,15/06/2018 14:00,1529064302
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,13h,Buena,42,13h,Bona,75,13h,Buena,30,15/06/2018 14:00,1529064302
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,13h,Buena,64,13h,Bona,31,,,,15/06/2018 14:00,1529064302
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,13h,Buena,52,13h,Bona,38,13h,Buena,25,15/06/2018 14:00,1529064302
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,13h,Buena,38,13h,Bona,66,13h,Buena,25,15/06/2018 14:00,1529064302
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,13h,Bona,36,13h,Buena,31,15/06/2018 14:00,1529064302
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,12h,Bona,58,,,,15/06/2018 15:00,1529067903
Eixample,Buena,IH,01,08019043,2.1538,41.3853,14h,Buena,46,14h,Bona,84,14h,Buena,35,15/06/2018 15:00,1529067903
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,14h,Buena,61,14h,Bona,57,14h,Buena,29,15/06/2018 15:00,1529067903
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,14h,Buena,75,14h,Bona,19,,,,15/06/2018 15:00,1529067903
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,14h,Buena,67,14h,Bona,37,14h,Buena,26,15/06/2018 15:00,1529067903
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,14h,Buena,50,14h,Bona,67,14h,Buena,25,15/06/2018 15:00,1529067903
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,14h,Bona,27,14h,Buena,31,15/06/2018 15:00,1529067903
Eixample,Buena,IH,01,08019043,2.1538,41.3853,15h,Buena,47,15h,Bona,90,15h,Buena,35,15/06/2018 16:00,1529071502
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,15h,Buena,67,15h,Bona,65,15h,Buena,29,15/06/2018 16:00,1529071502
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,15h,Buena,77,15h,Bona,21,,,,15/06/2018 16:00,1529071502
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,15h,Buena,84,15h,Bona,28,15h,Buena,26,15/06/2018 16:00,1529071502
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,15h,Buena,95,15h,Bona,49,15h,Buena,25,15/06/2018 16:00,1529071502
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,15h,Bona,20,15h,Buena,30,15/06/2018 16:00,1529071502
Eixample,Regular,IH,01,08019043,2.1538,41.3853,16h,Buena,48,16h,Regular,110,16h,Buena,35,15/06/2018 17:00,1529075103
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,16h,Buena,53,16h,Regular,94,16h,Buena,29,15/06/2018 17:00,1529075103
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,16h,Buena,76,16h,Bona,36,,,,15/06/2018 17:00,1529075103
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,16h,Buena,81,16h,Bona,52,16h,Buena,26,15/06/2018 17:00,1529075103
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,16h,Buena,89,16h,Bona,39,16h,Buena,25,15/06/2018 17:00,1529075103
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,16h,Bona,26,16h,Buena,30,15/06/2018 17:00,1529075103
Eixample,Buena,IH,01,08019043,2.1538,41.3853,17h,Buena,61,17h,Bona,82,17h,Buena,35,15/06/2018 18:00,1529078703
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,17h,Buena,62,17h,Bona,74,17h,Buena,28,15/06/2018 18:00,1529078703
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,17h,Buena,84,17h,Bona,26,,,,15/06/2018 18:00,1529078703
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,17h,Buena,70,17h,Bona,54,17h,Buena,27,15/06/2018 18:00,1529078703
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,17h,Buena,96,17h,Bona,21,17h,Buena,24,15/06/2018 18:00,1529078703
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,17h,Bona,36,17h,Buena,29,15/06/2018 18:00,1529078703
Eixample,Buena,IH,01,08019043,2.1538,41.3853,18h,Buena,59,18h,Bona,75,18h,Buena,35,15/06/2018 19:00,1529082303
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,18h,Buena,71,18h,Bona,61,18h,Buena,28,15/06/2018 19:00,1529082303
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,18h,Buena,99,18h,Bona,15,,,,15/06/2018 19:00,1529082303
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,18h,Buena,98,18h,Bona,18,18h,Buena,27,15/06/2018 19:00,1529082303
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,18h,Buena,97,18h,Bona,18,18h,Buena,24,15/06/2018 19:00,1529082303
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,18h,Bona,33,18h,Buena,29,15/06/2018 19:00,1529082303
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,19h,Bona,18,,,,15/06/2018 20:00,1529085903
Eixample,Buena,IH,01,08019043,2.1538,41.3853,19h,Buena,57,19h,Bona,73,19h,Buena,35,15/06/2018 20:00,1529085903
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,19h,Buena,69,19h,Bona,59,19h,Buena,27,15/06/2018 20:00,1529085903
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,19h,Buena,82,19h,Bona,27,,,,15/06/2018 20:00,1529085903
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,19h,Buena,93,19h,Bona,19,19h,Buena,27,15/06/2018 20:00,1529085903
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,19h,Buena,95,19h,Bona,19,19h,Buena,23,15/06/2018 20:00,1529085903
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,19h,Bona,27,19h,Buena,29,15/06/2018 20:00,1529085903
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,20h,Bona,20,,,,15/06/2018 21:00,1529089503
Eixample,Buena,IH,01,08019043,2.1538,41.3853,20h,Buena,50,20h,Bona,79,20h,Buena,35,15/06/2018 21:00,1529089503
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,20h,Buena,64,20h,Bona,57,20h,Buena,26,15/06/2018 21:00,1529089503
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,20h,Buena,69,20h,Bona,36,,,,15/06/2018 21:00,1529089503
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,20h,Buena,87,20h,Bona,23,20h,Buena,26,15/06/2018 21:00,1529089503
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,20h,Buena,92,20h,Bona,16,20h,Buena,22,15/06/2018 21:00,1529089503
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,20h,Bona,39,20h,Buena,29,15/06/2018 21:00,1529089503
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,21h,Bona,27,,,,15/06/2018 22:00,1529093103
Eixample,Buena,IH,01,08019043,2.1538,41.3853,21h,Buena,55,21h,Bona,69,21h,Buena,34,15/06/2018 22:00,1529093103
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,21h,Buena,61,21h,Bona,59,21h,Buena,26,15/06/2018 22:00,1529093103
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,21h,Buena,73,21h,Bona,32,,,,15/06/2018 22:00,1529093103
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,21h,Buena,80,21h,Bona,27,21h,Buena,25,15/06/2018 22:00,1529093103
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,21h,Buena,86,21h,Bona,31,21h,Buena,22,15/06/2018 22:00,1529093103
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,21h,Bona,28,21h,Buena,29,15/06/2018 22:00,1529093103
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,22h,Bona,27,,,,15/06/2018 23:00,1529096703
Eixample,Buena,IH,01,08019043,2.1538,41.3853,22h,Buena,46,22h,Bona,82,22h,Buena,34,15/06/2018 23:00,1529096703
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,22h,Buena,48,22h,Bona,75,22h,Buena,25,15/06/2018 23:00,1529096703
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,21h,Buena,73,21h,Bona,32,,,,15/06/2018 23:00,1529096703
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,22h,Buena,62,22h,Bona,47,22h,Buena,25,15/06/2018 23:00,1529096703
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,,,,NA,,,23h,Buena,21,15/06/2018 23:00,1529096703
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,NA,,,23h,Buena,28,15/06/2018 23:00,1529096703
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,23h,Bona,45,,,,16/06/2018 0:00,1529100302
Eixample,Buena,IH,01,08019043,2.1538,41.3853,23h,Buena,30,23h,Bona,90,23h,Buena,33,16/06/2018 0:00,1529100302
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,23h,Buena,34,23h,Bona,82,23h,Buena,25,16/06/2018 0:00,1529100302
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,23h,Buena,65,23h,Bona,34,23h,Buena,24,16/06/2018 0:00,1529100302
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,23h,Buena,58,23h,Bona,44,23h,Buena,21,16/06/2018 0:00,1529100302
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,23h,Bona,23,23h,Buena,27,16/06/2018 0:00,1529100302
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,0h,Bona,40,,,,16/06/2018 1:00,1529103903
Eixample,Buena,IH,01,08019043,2.1538,41.3853,0h,Buena,26,0h,Bona,89,0h,Buena,34,16/06/2018 1:00,1529103903
Gràcia,Regular,IJ,01,08019044,2.1534,41.3987,0h,Buena,15,0h,Regular,103,0h,Buena,26,16/06/2018 1:00,1529103903
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,0h,Buena,73,0h,Bona,32,,,,16/06/2018 1:00,1529103903
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,0h,Buena,70,0h,Bona,26,0h,Buena,24,16/06/2018 1:00,1529103903
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,0h,Buena,58,0h,Bona,44,0h,Buena,22,16/06/2018 1:00,1529103903
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,0h,Bona,32,0h,Buena,27,16/06/2018 1:00,1529103903
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,1h,Bona,37,,,,16/06/2018 2:00,1529107502
Eixample,Regular,IH,01,08019043,2.1538,41.3853,1h,Buena,11,1h,Regular,107,1h,Buena,35,16/06/2018 2:00,1529107502
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,1h,Buena,43,1h,Bona,67,1h,Buena,26,16/06/2018 2:00,1529107502
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,1h,Buena,56,1h,Bona,35,1h,Buena,24,16/06/2018 2:00,1529107502
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,1h,Buena,50,1h,Bona,41,1h,Buena,21,16/06/2018 2:00,1529107502
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,1h,Bona,23,1h,Buena,26,16/06/2018 2:00,1529107502
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,2h,Bona,46,,,,16/06/2018 3:00,1529111103
Eixample,Buena,IH,01,08019043,2.1538,41.3853,2h,Buena,37,2h,Bona,74,2h,Buena,35,16/06/2018 3:00,1529111103
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,2h,Buena,57,2h,Bona,44,2h,Buena,26,16/06/2018 3:00,1529111103
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,2h,Buena,41,2h,Bona,48,3h,Buena,24,16/06/2018 3:00,1529111103
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,2h,Buena,45,2h,Bona,44,2h,Buena,22,16/06/2018 3:00,1529111103
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,2h,Bona,24,2h,Buena,26,16/06/2018 3:00,1529111103
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,3h,Bona,28,,,,16/06/2018 4:00,1529114702
Eixample,Buena,IH,01,08019043,2.1538,41.3853,3h,Buena,39,3h,Bona,58,3h,Buena,34,16/06/2018 4:00,1529114702
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,3h,Buena,40,3h,Bona,57,3h,Buena,26,16/06/2018 4:00,1529114702
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,3h,Buena,28,3h,Bona,73,,,,16/06/2018 4:00,1529114702
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,3h,Buena,30,3h,Bona,58,3h,Buena,24,16/06/2018 4:00,1529114702
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,3h,Buena,47,3h,Bona,29,3h,Buena,22,16/06/2018 4:00,1529114702
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,3h,Bona,40,3h,Buena,26,16/06/2018 4:00,1529114702
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,4h,Bona,28,,,,16/06/2018 5:00,1529118303
Eixample,Buena,IH,01,08019043,2.1538,41.3853,4h,Buena,45,4h,Bona,41,5h,Buena,34,16/06/2018 5:00,1529118303
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,4h,Buena,41,4h,Bona,41,4h,Buena,26,16/06/2018 5:00,1529118303
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,4h,Buena,51,4h,Bona,37,,,,16/06/2018 5:00,1529118303
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,4h,Buena,17,4h,Bona,62,4h,Buena,24,16/06/2018 5:00,1529118303
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,4h,Buena,55,4h,Bona,24,4h,Buena,22,16/06/2018 5:00,1529118303
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,4h,Bona,57,4h,Buena,26,16/06/2018 5:00,1529118303
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,5h,Bona,18,,,,16/06/2018 6:00,1529121903
Eixample,Buena,IH,01,08019043,2.1538,41.3853,5h,Buena,51,5h,Bona,33,5h,Buena,33,16/06/2018 6:00,1529121903
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,5h,Buena,58,5h,Bona,30,5h,Buena,26,16/06/2018 6:00,1529121903
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,5h,Buena,45,5h,Bona,34,,,,16/06/2018 6:00,1529121903
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,5h,Buena,10,5h,Bona,64,5h,Buena,24,16/06/2018 6:00,1529121903
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,5h,Buena,48,5h,Bona,27,5h,Buena,21,16/06/2018 6:00,1529121903
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,5h,Bona,52,5h,Buena,26,16/06/2018 6:00,1529121903
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,6h,Bona,23,,,,16/06/2018 7:00,1529125503
Eixample,Buena,IH,01,08019043,2.1538,41.3853,6h,Buena,41,6h,Bona,41,6h,Buena,34,16/06/2018 7:00,1529125503
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,6h,Buena,39,6h,Bona,44,6h,Buena,26,16/06/2018 7:00,1529125503
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,6h,Buena,32,6h,Bona,47,,,,16/06/2018 7:00,1529125503
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,6h,Buena,8,6h,Bona,70,6h,Buena,24,16/06/2018 7:00,1529125503
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,6h,Buena,48,6h,Bona,27,6h,Buena,21,16/06/2018 7:00,1529125503
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,6h,Bona,50,6h,Buena,26,16/06/2018 7:00,1529125503
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,7h,Bona,29,,,,16/06/2018 8:00,1529129103
Eixample,Buena,IH,01,08019043,2.1538,41.3853,7h,Buena,57,7h,Bona,29,7h,Buena,34,16/06/2018 8:00,1529129103
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,7h,Buena,65,7h,Bona,26,7h,Buena,26,16/06/2018 8:00,1529129103
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,7h,Buena,22,7h,Bona,51,,,,16/06/2018 8:00,1529129103
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,7h,Buena,16,7h,Bona,59,7h,Buena,24,16/06/2018 8:00,1529129103
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,7h,Buena,43,7h,Bona,32,7h,Buena,21,16/06/2018 8:00,1529129103
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,7h,Bona,56,7h,Buena,26,16/06/2018 8:00,1529129103
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,8h,Bona,38,,,,16/06/2018 9:00,1529132702
Eixample,Buena,IH,01,08019043,2.1538,41.3853,8h,Buena,59,8h,Bona,35,8h,Buena,33,16/06/2018 9:00,1529132702
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,8h,Buena,44,8h,Bona,48,8h,Buena,26,16/06/2018 9:00,1529132702
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,8h,Buena,12,8h,Bona,51,,,,16/06/2018 9:00,1529132702
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,8h,Buena,15,8h,Bona,59,8h,Buena,24,16/06/2018 9:00,1529132702
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,8h,Buena,26,8h,Bona,45,8h,Buena,21,16/06/2018 9:00,1529132702
