FID;Shape;IdStation;Activate;Address;DockBikes;FreeBases;PosicionST;Ligth;Name;NoAvailabl;number;TotalBases;POINT_X;POINT_Y
173;Point;1586;1;Calle Retama (esquina con calle Acanto),;22;1;-3.67589 40.3940423;1;180 - Estación Sur Méndez Álvaro B;0;180;23;-3,67589;40,394042
174;Point;1587;1;Calle Ibiza nº 16,;6;21;-3.6764435404754696 40.41816932665331;0;181 - Ibiza - Narváez;0;181;27;-3,676444;40,418169
175;Point;1588;1;Alcalde Sainz de Baranda (esquina con calle de Juan Espladiu),;15;8;-3.6657776999999996 40.4186666;2;182 - Parque Roma;0;182;23;-3,665778;40,418667
176;Point;1589;1;Calle Hermosilla, 135,;3;20;-3.6693389999999995 40.425635;0;183 - Hermosilla - Doctor Esquerdo;0;183;23;-3,669339;40,425635
177;Point;1590;1;Paseo del Marqués Zafra, 24 ,;4;20;-3.6653055 40.426;0;184 - Marqués de Zafra, 24;0;184;24;-3,665306;40,426
178;Point;1591;1;Calle Sancho Dávila, 35 ,;7;17;-3.6615277000000006 40.4250833;0;185 - Parque Quinta de la Fuente del Berro;0;185;24;-3,661528;40,425083
179;Point;1592;1;Calle de Diego de León, 54 ,;3;20;-3.6780802000000006 40.434676;0;143 - Diego de León - General Pardiñas;0;143;23;-3,67808;40,434676
180;Point;1593;1;Alcala-Ventas ,;10;13;-3.6638249 40.4301326;2;187 - Alejandro González - Alcalá;0;187;23;-3,663825;40,430133
181;Point;1594;1;Avenida de Daroca, 2 ,;16;11;-3.6590286000000005 40.4312562;2;188 - Puente de Ventas;0;188;27;-3,659029;40,431256
182;Point;1595;1;Avenida donostiarra,;1;22;-3.6554918000000005 40.4351256;0;189 - Virgen de la Alegría;0;189;23;-3,655492;40,435126
183;Point;1596;1;Calle Velázquez, 91 ,;15;8;-3.6833753 40.4343053;2;190 - Velázquez - Diego de León;0;190;23;-3,683375;40,434305
184;Point;1597;1;Calle de Alfonso Heredia, 2 ,;1;18;-3.6740777840614403 40.434569387142616;0;191 - Metro Diego de León;0;191;19;-3,674078;40,434569
185;Point;1598;1;Avenida de los Toreros, 3 ,;15;12;-3.6714677183853106 40.431826464468664;2;192 - Avda. de los Toreros - Fco. Silvela;0;192;27;-3,671468;40,431826
186;Point;1599;1;Avenida De los Toreros, 49 ,;11;16;-3.6655555 40.4324722;2;193 - Plaza de las Ventas;0;193;27;-3,665555;40,432472
187;Point;1600;1;Calle Francisco Silvela, 87 ,;22;2;-3.6771534999999997 40.4372638;1;194 - Intercambiador de Avenida de América;0;194;24;-3,677154;40,437264
188;Point;1601;1;Calle Mataelpino, 1 ,;22;2;-3.6754444 40.4392222;1;195 - Indalecio Hernández - Mataelpino;0;195;24;-3,675444;40,439222
189;Point;1602;1;Calle Suero de Quiñones, 4 ,;2;25;-3.6752218 40.4442237;0;196 - Metro Prosperidad;0;196;27;-3,675222;40,444224
190;Point;1603;1;Avenida de Concha Espina, 36 ,;9;14;-3.677916 40.4516059;2;197 - Parque de Berlín;0;197;23;-3,677916;40,451606
191;Point;1604;1;Paseo de las Castellana, 33 ,;21;2;-3.6890999999999994 40.432;1;198 - Metro Rubén Darío;0;198;23;-3,6891;40,432
192;Point;1605;1;Calle Fernando el Católico, 61 ,;4;23;-3.7149166 40.4343611;0;199 - Fernando el Católico, 61;0;199;27;-3,714917;40,434361
193;Point;1606;1;Glorieta de Quevedo, 4 ,;15;9;-3.7045789811585412 40.43375360585919;2;200 - Metro Quevedo;0;200;24;-3,704579;40,433754
194;Point;1607;1;Calle José Abascal, 2 ,;10;13;-3.7038332999999994 40.4386944;2;201 - Metro Canal;0;201;23;-3,703833;40,438694
195;Point;1608;1;Calle de Santander, 1 ,;13;14;-3.7083 40.4413;2;202 - Parque de Santander;0;202;27;-3,7083;40,4413
196;Point;1609;1;Calle General de Ampudia 2,;17;7;-3.7144722 40.44175;1;203 - General Ampudia - San Francisco Sales;0;203;24;-3,714472;40,44175
197;Point;1610;1;Calle Doctor Santero, 1 ,;5;18;-3.7040397 40.4476488;0;204 - Doctor Santero - Bravo Murillo;0;204;23;-3,70404;40,447649
198;Point;1611;1;Calle Navarra, 1 ,;3;20;-3.7032776999999997 40.4535;0;205 - Metro Estrecho;0;205;23;-3,703278;40,4535
199;Point;1612;1;Calle Marqués de Viana, 3 ,;1;22;-3.698915521426396 40.4607466894426;0;206 - Metro Tetuán;0;206;23;-3,698916;40,460747
200;Point;1613;1;Calle Azucenas, 2 ,;0;19;-3.6973352000000004 40.4630443;0;207 - Plaza de la Remonta;0;207;19;-3,697335;40,463044
201;Point;1614;1;Paseo de la Castellana, 216 ,;0;18;-3.6890611 40.4662811;0;208 - Intercambiador de Plaza de Castilla;0;208;18;-3,689061;40,466281
202;Point;1615;1;Plaza de Castilla, 9 ,;1;22;-3.6887000000000003 40.4657;0;209 - Plaza de Castilla - Fundación Canal;0;209;23;-3,6887;40,4657
203;Point;1616;1;Calle de las Tres Cruces,;23;4;-3.7027164000000004 40.4196518;1;210 - Calle de las Tres Cruces - Gran Vía;0;210;27;-3,702716;40,419652
204;Point;1617;1;Calle de el Desengaño, 4 ,;15;8;-3.70239 40.42059;2;211 - Desengaño - Valverde;0;211;23;-3,70239;40,42059
205;Point;1618;1;Glorieta Marqués de Vadillo, 9,;13;14;-3.7165910000000006 40.398247;2;212 - Metro Marqués de Vadillo;0;212;27;-3,716591;40,398247
206;Point;1619;1;Calle de Antonio López, 129 ,;10;13;-3.7002247 40.3889918;2;213 - Glorieta de Cádiz;0;213;23;-3,700225;40,388992
207;Point;1620;1;Calle Condesa de Venadito, 2 ,;23;1;-3.6569031 40.4434316;1;214 - Condesa de Venadito - Albacete;0;214;24;-3,656903;40,443432
208;Point;1621;1;Calle Gutierre de Cetina, 77 ,;7;16;-3.6408092999999995 40.429588;0;215 - Gutierre de Cetina - Ascao;0;215;23;-3,640809;40,429588
209;Point;1622;1;Plaza Puerta del Ángel, 3 ,;4;23;-3.72897 40.4141;0;216 - Plaza de Puerta del Ángel;0;216;27;-3,72897;40,4141
210;Point;1623;1;Calle Pedro Rico, 4 ,;20;3;-3.6890757999999995 40.480884;1;217 - Hospital Universitario La Paz;0;217;23;-3,689076;40,480884
211;Point;1624;1;Camino de Vinateros, 28 ,;6;17;-3.6572967 40.4105478;0;218 - Camino de los Vinateros A;0;218;23;-3,657297;40,410548
212;Point;1625;1;Camino de los Vinateros, 108 ,;7;11;-3.6467337999999994 40.4083593;2;219 - Camino de los Vinateros B;0;219;18;-3,646734;40,408359
213;Point;1626;1;Calle Arrollo de las Pilillas, 2 ,;14;10;-3.651384 40.406156;2;220 - Plaza del Encuentro;0;220;24;-3,651384;40,406156
214;Point;1627;1;Calle Hacienda de Pavones, 148 ,;20;3;-3.6347444787322485 40.400492026660594;1;221 - Metro Pavones;0;221;23;-3,634744;40,400492
215;Point;1628;1;Calle Eugenio Caxes, 14 ,;15;8;-3.7026789 40.3917871;2;222 - Eugenio Caxes - Antonio López;0;222;23;-3,702679;40,391787
216;Point;1629;1;Paseo de la Ermita del Santo, 48 ,;10;17;-3.724576 40.406448;2;223 - Ermita del Santo;0;223;27;-3,724576;40,406448
217;Point;1630;1;Calle Caramuel, 51 ,;3;24;-3.7287000000000003 40.409;0;224 - Parque de Caramuel;0;224;27;-3,7287;40,409
218;Point;1631;1;Calle Sierra Toledana, 33 ,;10;14;-3.660345 40.402506;2;225 - Sierra Toledana - Doctor Lozano;0;225;24;-3,660345;40,402506
219;Point;1632;1;Camino Valderribas, 94 ,;0;23;-3.6607768678037744 40.39901531507069;0;226 - Sierra Toledana - Camino de Valderribas;0;226;23;-3,660777;40,399015
220;Point;1633;1;Calle Arrollo del Olivar, 3 ,;0;24;-3.665936242935637 40.39382977920336;0;227 - Arroyo del Olivar;0;227;24;-3,665936;40,39383
221;Point;1634;1;Calle San Delfín, 10 ,;0;18;-3.7080429728445568 40.39440607959559;0;228 - San Delfín - Antonio López;0;228;18;-3,708043;40,394406
222;Point;1635;1;Calle José del Hierro, 6 ,;0;23;-3.6486508 40.4369378;0;229 - Centro Deportivo Municipal Concepción;0;229;23;-3,648651;40,436938
223;Point;1636;1;Calle Carlota O Neill, 30-32 ,;2;22;-3.6488254 40.4436792;0;230 - Carlota O´Neill - Agastia;0;230;24;-3,648825;40,443679
224;Point;1637;1;Calle Derechos Humanos, 14 ,;9;15;-3.6557193 40.4398283;2;231 - Derechos Humanos - Verdaguer y García;0;231;24;-3,655719;40,439828
225;Point;1638;1;Calle De José Maria Pereda, 1 ,;15;12;-3.6486169000000004 40.4327663;2;232 - José María de Pereda - Alcalá;0;232;27;-3,648617;40,432766
226;Point;1639;1;Calle Marqués de Corbera, 12 ,;12;12;-3.6555789000000005 40.4229522;2;233 - El dragón de La Elipa;0;233;24;-3,655579;40,422952
227;Point;1640;1;Avenida Marques de Corbera, 52 ,;8;16;-3.6510917000000003 40.4261278;2;234 - Metro La Elipa;0;234;24;-3,651092;40,426128
228;Point;1641;1;Calle del Sodio, 1B ,;11;12;-3.691076 40.389041;2;235 - Sodio - Embajadores;0;235;23;-3,691076;40,389041
229;Point;1642;1;Paseo Imperial, 31 ,;21;6;-3.7170785 40.4075794;1;236 - Paseo Imperial;0;236;27;-3,717078;40,407579
230;Point;1644;1;CalleSan Germán, 5 ,;22;2;-3.6932611 40.4561825;1;238 - San Germán, 5;0;238;24;-3,693261;40,456182
231;Point;1645;1;Calle de Francos Rodríguez, 62 ,;3;20;-3.7078331000000007 40.4567132;0;239 - Francos Rodríguez - José Calvo;0;239;23;-3,707833;40,456713
232;Point;1646;1;Avenida De Brasilia, 9 ,;4;19;-3.66096 40.43666;0;240 - Brasilia - Parque Breogán;0;240;23;-3,66096;40,43666
233;Point;1647;1;Calle Camilo José Cela, 27,;2;21;-3.6677899999999997 40.4378;0;241 - Camilo José Cela;0;241;23;-3,66779;40,4378
234;Point;1648;1;Avenida De Bruselas, 56 ,;14;9;-3.6629280000000004 40.439513;2;242 - Metro Parque de las Avenidas;0;242;23;-3,662928;40,439513
235;Point;1649;1;Calle Cartagena, 37,;3;20;-3.6701200000000003 40.43503;0;243 - Cartagena;0;243;23;-3,67012;40,43503
236;Point;1650;1;Calle Isaac Peral, 42 ,;10;13;-3.71757 40.44003;2;244 - Hospital Clínico San Carlos;0;244;23;-3,71757;40,44003
237;Point;1651;1;Calle Galileo, 63 ,;2;22;-3.7101381 40.4363637;0;245 - Galileo - Donoso Cortés;0;245;24;-3,710138;40,436364
238;Point;1652;1;Calle de Santa Engracia, 85-87 ,;23;4;-3.699248472404664 40.43595788149785;1;246 - Metro Iglesia;0;246;27;-3,699248;40,435958
239;Point;1653;1;Calle de Zurbano, 90 ,;18;5;-3.69281 40.43837;1;247 - Zurbano - José Abascal;0;247;23;-3,69281;40,43837
240;Point;1654;1;Calle de Sinesio Delgado, 2 ,;22;5;-3.6879973 40.4743209;1;248 - Sinesio Delgado - Cuatro Torres;0;248;27;-3,687997;40,474321
241;Point;1655;1;Paseo de la Castellana, 298 ,;23;1;-3.6853186000000004 40.4795018;1;249 - Castellana - Cuatro Torres;0;249;24;-3,685319;40,479502
242;Point;1656;1;Calle Serrano, 111 ,;16;11;-3.6858096 40.4406491;2;250 - Serrano - CSIC;0;250;27;-3,68581;40,440649
243;Point;1657;1;Calle Santa Hortensia, 31 ,;2;21;-3.66683 40.44421;0;251 - Santa Hortensia - Corazón de María;0;251;23;-3,66683;40,44421
244;Point;1658;1;Calle Agustín de Foxá, 40 ,;1;22;-3.6839695 40.4717403;0;252 - Est. tren Chamartín - Clara Campoamor;0;252;23;-3,683969;40,47174
245;Point;1659;1;Calle del Doctor Fleming, 7 ,;19;0;-3.6884400000000004 40.45546;1;253 - Doctor Fleming - Estadio S. Bernabéu;0;253;19;-3,68844;40,45546
246;Point;1660;1;Avenida De Pio XII, 3 ,;6;17;-3.6765599999999994 40.461;0;254 - Plaza del Perú;0;254;23;-3,67656;40,461
247;Point;1661;1;Calle General López pozas, 2 ,;9;14;-3.685292 40.46361;2;255 - General López Pozas - Apolonio Morales;0;255;23;-3,685292;40,46361
248;Point;1662;1;Calle Beatriz de Bobadilla, 4 ,;4;19;-3.7138299999999997 40.44635;0;256 - Reina Victoria - Beatriz de Bobadilla;0;256;23;-3,71383;40,44635
249;Point;1663;1;Avenida Juan Herrera, 1 ,;22;1;-3.7305269999999995 40.438873;1;257 - Ciudad Universitaria - INEF;0;257;23;-3,730527;40,438873
250;Point;1664;1;Ciudad Universitaria, 1 ,;24;0;-3.7269389999999993 40.444311;1;258 - Metro Ciudad Universitaria A;0;258;24;-3,726939;40,444311
251;Point;1665;1;Ciudad Universitaria, 2 ,;19;0;-3.726752004160312 40.44270528449462;1;259 - Metro Ciudad Universitaria B;0;259;19;-3,726752;40,442705
252;Point;1666;1;Facultad de Biología,;20;4;-3.7272945 40.4483322;1;260 - Ciudad Universitaria - Fac. de Biología;0;260;24;-3,727295;40,448332
253;Point;1667;1;Avenida Complutense, 21 ,;23;0;-3.7296756 40.4505516;1;261 - Ciudad Universitaria - Facultad Derecho;0;261;23;-3,729676;40,450552
254;Point;1951;1;Calle Amparo Usera, 46 ,;22;1;-3.7061449 40.38707469;1;384 - Metro Usera;0;384;23;-3,706145;40,387075
255;Point;1952;1;Calle Doctor Tolosa Latour, 7 ,;13;10;-3.7004147799999996 40.37837955;2;388 - Estación tren - Hospital 12 de Octubre;0;388;23;-3,700415;40,37838
256;Point;1953;1;Calle Campotejar , 25,;12;11;-3.7038867099999995 40.36721104;2;385 - Estación de tren Orcasitas;0;385;23;-3,703887;40,367211
257;Point;1954;1;Calle Isabelita Usera, 44 ,;10;13;-3.7077397199999997 40.38272256;2;387 - Isabelita Usera, 44;0;387;23;-3,70774;40,382723
258;Point;1955;1;Avenida de la Perla, 35,;20;3;-3.6939702000000003 40.3700017;1;383 - Metro San Fermín-Orcasur;0;383;23;-3,69397;40,370002
259;Point;1956;1;Avenida de los Poblados, 130,;11;12;-3.7133152099999998 40.37347443;2;386 - Avenida de los Poblados, 130;0;386;23;-3,713315;40,373474
260;Point;1957;1;Avenida Ramon y Cajal, 101,;2;21;-3.662016 40.453493;0;476 - Metro Avenida de la Paz;0;476;23;-3,662016;40,453493
261;Point;1958;1;Calle de los Misterios, 2 ,;4;19;-3.6389040000000006 40.438278;0;477 - Metro Ciudad Lineal;0;477;23;-3,638904;40,438278
262;Point;1959;1;Calle José del Hierro esquina con Arturo Soria ,;1;22;-3.6410572000000005 40.44152084;0;478 - José del Hierro - Misterios;0;478;23;-3,641057;40,441521
263;Point;1960;1;Angel Muñoz, 1,;15;12;-3.655837131282797 40.45478362295884;2;479 - Metro Arturo Soria;0;479;27;-3,655837;40,454784
264;Point;1961;1;Calle Vicente Muzas, 13 ,;8;15;-3.6604425500000004 40.45903315;2;480 - Vicente Muzas - Arturo Soria;0;480;23;-3,660443;40,459033
265;Point;1962;1;Diego Ayllon, 2,;4;19;-3.6521906299999998 40.45117857;0;481 - Diego Ayllón - Arturo Soria;0;481;23;-3,652191;40,451179
266;Point;1963;1;Calle de Velero, 16 ,Comunidad de Madrid España;2;25;-3.5940999999999996 40.453;0;554 - Metro El Capricho;0;554;27;-3,5941;40,453
267;Point;1964;1;Avda. de Burgos, 17 ,;8;15;-3.6757900294303902 40.473593878889254;2;284 - Avenida de Burgos, 17;0;284;23;-3,67579;40,473594
268;Point;1965;1;Campuzano, 1,;3;20;-3.6423386 40.4356873;0;482 - Metro Pueblo Nuevo;0;482;23;-3,642339;40,435687
269;Point;1966;1;Calle Marcelino Álvarez, 31 ,;10;13;-3.6534324 40.4297428;2;483 - Marcelino Álvarez - Daroca;0;483;23;-3,653432;40,429743
270;Point;1967;1;Calle Luis Campos, 3,;18;5;-3.6323890000000003 40.42893071;1;484 - Metro García Noblejas;0;484;23;-3,632389;40,428931
271;Point;1968;1;Calle carretera de canillas, 17 ,;11;12;-3.65089253 40.4628701;2;523 - Carretera de Canillas;0;523;23;-3,650893;40,46287
272;Point;1969;1;Calle Santa María Magdalena, 15 ,;19;4;-3.6706 40.4631;1;285 - Santa María Magdalena - La Drácena;0;285;23;-3,6706;40,4631
273;Point;1970;1;Plaza Duque de Pastrana, 2 ,;7;16;-3.6778999999999997 40.4679;0;286 - Plaza Duque de Pastrana;0;286;23;-3,6779;40,4679
274;Point;1971;1;Calle de la Yuca, 1,;12;11;-3.6762 40.4765;2;287 - Metro Bambú;0;287;23;-3,6762;40,4765
275;Point;1972;1;Calle Caídos de la División Azul, 28 ,;18;5;-3.6723 40.4664;1;288 - Caídos de la División Azul;0;288;23;-3,6723;40,4664
276;Point;1973;1;Glorieta de Luís Rosales (esquina con López De Hoyos) ,;9;14;-3.6542999999999997 40.4673;2;524 - Glorieta Luis Rosales;0;524;23;-3,6543;40,4673
277;Point;1974;1;Fuente Carrantona , 33,;4;23;-3.63192261 40.4070216;0;460 - Fuente Carrantona - Doctor García Tapia;0;460;27;-3,631923;40,407022
278;Point;1975;1;Luis de Hoyos Sainz, 198,;6;17;-3.6292746499999997 40.400094;0;455 - Luis de Hoyos Sainz,  198;0;455;23;-3,629275;40,400094
279;Point;1976;1;Encomienda de Palacios, 8,;4;19;-3.6464000000000003 40.4005;0;456 - Encomienda de Palacios, 8;0;456;23;-3,6464;40,4005
280;Point;1977;1;Calle Ramirez Tomé, 33 ,;2;25;-3.645973936176305 40.38875618103898;0;416 - Ramírez Tomé;0;416;27;-3,645974;40,388756
281;Point;1978;1;Calle Romeo y Julieta, 12 ,;10;17;-3.6621756300000006 40.37873799;2;417 - Romeo y Julieta, 12;0;417;27;-3,662176;40,378738
282;Point;1979;1;Calle Puerto de Arlabán, 83 ,;3;24;-3.6674999999999995 40.3864;0;418 - Puerto de Arlabán - San Diego;0;418;27;-3,6675;40,3864
283;Point;1980;1;Calle Cronos, 57 ,;26;1;-3.6194333 40.4384695;1;496 - Cronos;0;496;27;-3,619433;40,438469
284;Point;1981;1;Calle Hermanos García Noblejas, 137 ,;8;15;-3.6241999999999996 40.4191;2;501 - Metro Alsacia;0;501;23;-3,6242;40,4191
285;Point;1982;1;Calle Alcalá, 546,;12;15;-3.6178316999999995 40.44313349999999;2;498 - Metro Torre Arias;0;498;27;-3,617832;40,443134
286;Point;1983;1;Calle Alcala, 590,;1;22;-3.6121996 40.4466561;0;499 - Biblioteca Pública Municipal Canillejas;0;499;23;-3,6122;40,446656
287;Point;1984;1;Calle Aracne, 17,;2;25;-3.5895 40.445;0;500 - Aracne, 17;0;500;27;-3,5895;40,445
288;Point;1985;1;Calle Alcalá, 506,;22;1;-3.6274 40.4407;1;497 - Metro Suances;0;497;23;-3,6274;40,4407
289;Point;1986;1;Calle Puerto Serrano, 1 enfrente del nº 6 ,;2;21;-3.6884609999999998 40.385412;0;265 - Puerto Serrano - Embajadores;0;265;23;-3,688461;40,385412
290;Point;1987;1;Calle Comandante Fontanés, 1 ,;5;18;-3.7211209 40.3951415;0;351 - Comandante Fontanes - General Ricardos;0;351;23;-3,721121;40,395142
291;Point;1988;1;Calle Ervigio, 22 ,;9;14;-3.7315 40.3947;2;350 - Ervigio - Amalarico;0;350;23;-3,7315;40,3947
292;Point;1989;1;Calle Julio Merino, 5 ,;6;17;-3.7032 40.3831;0;389 - Julio Merino - Pilarica;0;389;23;-3,7032;40,3831
293;Point;1990;1;Calle avena, 10 ,;15;8;-3.7159000000000004 40.3773;2;390 - Avena - Mijo;0;390;23;-3,7159;40,3773
294;Point;1991;1;Avenida de Cantabria, 6,;11;13;-3.5877220100000002 40.45462514;2;556 - Cantabria, 6;0;556;24;-3,587722;40,454625
295;Point;1992;1;Paseo de la Alameda de Osuna, 48,;13;14;-3.5981217100000005 40.45476837;2;555 - Parque del Capricho;0;555;27;-3,598122;40,454768
296;Point;1993;1;Calle Francisco Villaespesa, 37 ,;8;15;-3.6464629 40.4293263;2;485 - Francisco Villaespesa - Ledesma;0;485;23;-3,646463;40,429326
297;Point;1994;1;Calle Arzobispo Morcillo, 6,;9;18;-3.6938 40.4815;2;570 - Uni. Autónoma Madrid - Facul. Medicina;0;570;27;-3,6938;40,4815
298;Point;1995;1;Calle Hernani, 59 ,;23;0;-3.6972000000000005 40.4481;1;295 - Hernani - Edgar Neville;0;295;23;-3,6972;40,4481
299;Point;1996;1;Calle de la Costa Verde, 25-23 ,;8;15;-3.696862 40.469477;2;296 - Costa Verde;0;296;23;-3,696862;40,469477
300;Point;1997;1;Calle Simancas, 2,;2;21;-3.6951129800000007 40.4655;0;297 - Simancas - Pinos Alta;0;297;23;-3,695113;40,4655
301;Point;1998;1;Calle Gallur, 5,;2;21;-3.7359 40.3984;0;323 - Centro Deportivo Municipal Gallur;0;323;23;-3,7359;40,3984
302;Point;1999;1;Calle de las Higueras, 49,;17;6;-3.7450961521148636 40.40457132475174;1;324 - Metro Lucero;0;324;23;-3,745096;40,404571
303;Point;2000;1;Hacienda de Pavones, 148,;5;18;-3.6419 40.4026;0;457 - Hacienda de Pavones, 148;0;457;23;-3,6419;40,4026
304;Point;2001;1;Calle de la Maquinilla, 8-10 ,;17;7;-3.6364842400000006 40.38078101;1;432 - Maquinilla - Tranvía Blanco;0;432;24;-3,636484;40,380781
305;Point;2002;1;Calle Marqués de Viana, 85 ,;0;19;-3.704478 40.463643;0;298 - Marques de Viana - Bellver;0;298;19;-3,704478;40,463643
306;Point;2003;1;Calle Sierra de Guadalupe, 11 ,;4;22;-3.6237645700000005 40.38135158;0;437 - Metro Sierra de Guadalupe;0;437;27;-3,623765;40,381352
307;Point;2004;1;Calle de la Verdad, 29,;18;5;-3.7171600000000002 40.391787;1;358 - Verdad;0;358;23;-3,71716;40,391787
308;Point;2005;1;Calle Algorta, 2,;14;9;-3.72745169 40.39162261454714;2;352 - Algorta  - General Ricardos;0;352;23;-3,727452;40,391623
309;Point;2006;1;Fernando Gabriel, 2 ,;1;23;-3.6394989099999995 40.42466356;0;492 - Metro La Almudena;0;492;24;-3,639499;40,424664
310;Point;2007;1;Paseo de los Jesuitas, 69 ,;2;25;-3.7350999999999996 40.408;0;322 - Ps. Jesuitas - Mercado Alto Extremadura;0;322;27;-3,7351;40,408
311;Point;2008;1;Avenida Córdoba, enfrente nº 21 ,;21;2;-3.697856 40.38268;1;392 - Metro Almendrales;0;392;23;-3,697856;40,38268
312;Point;2009;1;Calle Candilejas, 5 ,;19;4;-3.6630038299999996 40.38263599;1;420 - Candilejas, 5;0;420;23;-3,663004;40,382636
313;Point;2010;1;Calle Puerto de Balbarán, 10,;17;10;-3.655868 40.3762374;2;419 - Estación de tren de El Pozo;0;419;27;-3,655868;40,376237
314;Point;2011;1;Calle Cabeza de Mesada, 5,;15;12;-3.6294129999999996 40.37647902;2;439 - Cabeza Mesada - Parque de Valdeperdices;0;439;27;-3,629413;40,376479
315;Point;2012;1;Avenida de Orovilla, 53,;23;4;-3.6895 40.3587;1;398 - Orovilla - Felicidad;0;398;27;-3,6895;40,3587
316;Point;2013;1;Avenida Monforte de Lemos, 13 ,;16;7;-3.6964999999999995 40.4795;2;569 - C. Deportivo Mpal. Vicente del Bosque;0;569;23;-3,6965;40,4795
317;Point;2014;1;Calle Melchor Fernandez Almagro, 80,;16;7;-3.710326199999999 40.4756475;2;571 - Melchor Fernández Almagro - Plaza Tuy;0;571;23;-3,710326;40,475648
318;Point;2015;1;Calle Valle de Mena, 5,;2;21;-3.7152724500000005 40.46962735;0;304 - Valle de Mena, 5;0;304;23;-3,715272;40,469627
319;Point;2017;1;Calle del Cobre, 6 ,;17;6;-3.689031463575172 40.39338327980599;1;268 - Metro Arganzuela-Planetario;0;268;23;-3,689031;40,393383
320;Point;2019;1;Paseo de la Florida, 37,;10;13;-3.72317757 40.42276114;2;305 - Intercambiador de Príncipe Pío B;0;305;23;-3,723178;40,422761
321;Point;2020;1;Avenida Del Santo Ángel de la Guarda, 6 ,;2;21;-3.7121965 40.4617959;0;306 - Centro Deportivo Mpal Fernando Martín;0;306;23;-3,712197;40,461796
322;Point;2021;1;Calle Serrano Galvache 1,;18;5;-3.6679379 40.471382;1;486 - Serrano Galvache - Arturo Soria;0;486;23;-3,667938;40,471382
323;Point;2022;1;Calle de Puertollano, 4-2 ,;18;5;-3.6237372 40.4425157;1;502 - Puertollano - Veinticinco de Septiembre;0;502;23;-3,623737;40,442516
324;Point;2023;1;Calle Gallegos 27,;16;11;-3.6102747000000006 40.40240379;2;462 - Gallegos - Lavadero Viejo;0;462;27;-3,610275;40,402404
325;Point;2024;1;Calle Arroyo del Olivar, 63,;2;22;-3.653269 40.388435;0;421 - Arroyo del Olivar - Buenos Aires;0;421;24;-3,653269;40,388435
326;Point;2025;1;Calle Manuel Uribe, 1,;9;14;-3.66503419 40.46434131;2;487 - Manuel Uribe - Arturo Soria;0;487;23;-3,665034;40,464341
327;Point;2026;1;422 - Travesia de Palomeras, 7,;1;23;-3.6705179 40.39017003;0;422 - Travesia de Palomeras, 7;0;422;24;-3,670518;40,39017
328;Point;2027;1;Avenida de Entrevias, 56,;11;13;-3.6685501300000003 40.38138801;2;423 - Estación de tren Asamblea de Madrid;0;423;24;-3,66855;40,381388
329;Point;2028;1;Camino de Valderribas, 47,;17;7;-3.663958 40.4002231;1;424 - Camino de Valderribas, 47;0;424;24;-3,663958;40,400223
330;Point;2029;1;Calle Ramón Pérez de Ayala, 45 ,;5;19;-3.65381017 40.40003472;0;425 - Ramón Perez Ayala - Pque. Cerro Tío Pío;0;425;24;-3,65381;40,400035
331;Point;2030;1;Calle Humanes, 3,;18;6;-3.64932678 40.3952121;1;426 - Humanes - Benjamín Palencia;0;426;24;-3,649327;40,395212
332;Point;2031;1;Calle de los Andaluces, 2,;13;11;-3.64148304 40.3914244;2;427 - Andaluces, 2;0;427;24;-3,641483;40,391424
333;Point;2032;1;Avenida La Albufera, 136 ,;12;12;-3.6570999999999994 40.3919;2;428 - Estadio de Vallecas;0;428;24;-3,6571;40,3919
334;Point;2033;1;Calle Manuel Noya, 29 ,;18;6;-3.7117979 40.3853787;1;393 - Manuel Noya , 29;0;393;24;-3,711798;40,385379
335;Point;2034;1;Serrano Galvache, 56,;17;7;-3.67144504 40.47675257;1;489 - Serrano Galvache - Yerma;0;489;24;-3,671445;40,476753
336;Point;2035;1;Calle Hermanos García Nobleza (esquina Plaza del Reloj Solar) ,;8;16;-3.62888094 40.42427523;2;490 - Hnos.García Noblejas-FcoLargo Caballero;0;490;24;-3,628881;40,424275
337;Point;2036;1;Calle Ricardo Ortiz, 33,;6;18;-3.6579643900000005 40.42657032;0;488 - Ricardo Ortiz, 33;0;488;24;-3,657964;40,42657
338;Point;2037;1;Calle Bacares, 20 ,;10;14;-3.6626902900000005 40.47675499;2;525 - Metro Manoteras;0;525;24;-3,66269;40,476755
339;Point;2038;1;Calle de San Roman del Valle, 20,;8;16;-3.623466935545257 40.42309928573645;2;504 - Biblioteca Pública Municipal San Blas;0;504;24;-3,623467;40,423099
340;Point;2039;1;Calle Zaldivar, 19 ,;21;3;-3.62650373 40.43209033;1;503 - Zaldívar - Valdecanillas;0;503;24;-3,626504;40,43209
341;Point;2040;1;Calle Arroyo Bueno, 53 ,;4;23;-3.7109850000000004 40.349111;0;404 - Junta Municipal Distrito de Villaverde;0;404;27;-3,710985;40,349111
342;Point;2041;1;Calle Mercedes Arteaga, 21,;12;12;-3.7222175704754585 40.39251608002938;2;353 - Mercedes Arteaga, 21;0;353;24;-3,722218;40,392516
343;Point;2042;1;Calle de la Vía, 56 ,;11;13;-3.7182338 40.3854641;2;355 - Intercambiador de Plaza Elíptica;0;355;24;-3,718234;40,385464
344;Point;2043;1;Calle Francisco Tejada, 1 ,;13;11;-3.739615781020349 40.40937950320982;2;326 - Metro Alto de Extremadura;0;326;24;-3,739616;40,40938
