test-ins - Madrid Innova;;;;;;;;;
Evento;Espacio;Tipo;Fecha;Hora Inicio;Hora Fin;Ponente;Dirigido a;inscritos;Descripción
Taller Humble Data PyLadies Madrid;Puerta innovación;Taller;02-07-2024;18:30;20:45;Humble Data y PyLadies Madrid;Emprendedores;0;
Taller Humble Data PyLadies Madrid;Puerta innovación;Taller;01-07-2024;18:30;20:45;Humble Data y PyLadies Madrid;Emprendedores;0;
Liderazgo Infinito;iLAB;Conferencia;27-06-2024;18:00;20:30;;Emprendedores;0;
Kit de apps e IA para emprendedores;iLAB;Taller;27-06-2024;10:00;13:00;Erika Sánchez y José Luis Mena;Emprendedores;0;
TalenTechers - ¿Qué se busca en un proceso de selección?;Puerta innovación;Taller;27-06-2024;18:30;20:30;Isabel García;Emprendedores;0;
Branding y estrategia de marca 361º para emprendedores;Aravaca Innovation Lab;Conferencia;25-06-2024;17:00;18:30;John Williamson;Emprendedores;7;¿Por qué lo llamamos 361º? Porque tratamos de ir un grado más allá de lo esperado De esta forma tomaremos impulso para que nuestras marcas destaquen por encima de las demás. El arte del branding consiste en saber encajar en un sector y al mismo tiempo diferenciarse de la competencia. El diseñador y director creativo John Williamson (Agencia YOU) cree que hay siete pasos para construir una marca exitosa. John desarrolló una metodología llamada Brand User Experience y, en esta ponencia, te guía en cada paso para construir una marca sólida desde cero.   ¿Qué hace que esta ponencia sea diferente de otras sobre branding? La metodología Brand User Experience combina lo mejor de la disciplina de UX (User Experience) con las prácticas de la Branding (estrategia de Marca). Este enfoque nos asegura que no despilfarremos nuestro valioso tiempo, dinero y recursos.   ¿Qué habrás aprendido en 90 minutos? Sabrás los pasos a seguir para que tu marca sea fiel a tus principios Conocerás los 4 pilares de las marcas bien construidas  Qué hace especial a la marca ¿Con quién estamos hablando? Qué les estamos diciendo Dónde ocurre esta comunicación  Si te interesa este evento, inscríbete aquí.
ECOSISTEMAS: El poder de las redes;iLAB;Conferencia;25-06-2024;18:30;20:30;"Estefanía Morales – Subdirectora General Innovación;  Elena de Benavides – Innovation Ecosystem Director ; Alejandro Santana – Lead to Change  ; Ignacio Guasch – Director Negocio & Scouting";Emprendedores;0;
Women Tech Talent;iLAB;Taller;20-06-2024;18:30;20:30;;Emprendedores;0;
Estrategias avanzadas: Salescraft y clientología;iLAB;Taller;20-06-2024;10:00;13:00;Violeta Bortone y Teresa de Ledesma;Emprendedores;0;
FormaDOOR: Instrumentos de financiación pública y privada para startups;Puerta innovación;Formación;20-06-2024;18:30;19:30;Luis Domínguez, asesor de Spin-offs para búsqueda de financiación;Emprendedores;11;
Workshop innovación tecnológica UPM;iLAB;Taller;19-06-2024;10:00;15:00;;Emprendedores;0;
"Seminario ""Comercio Inteligente, los retos del sector: sostenibilidad y competitividad""";iLAB;Conferencia;18-06-2024;09:45;12:00;Leonard Pera Cebrián, Ángel Niño Quesada, Juan Antonio de la Morena, David de la Torre Vidal, Jose Miguel Roca Chillida, Javier Romero Esteban, Isidro Cucó Martín de Jorge, Eva Nicolás Carrillo.;Emprendedores;0;
Emprende con seguridad: Autónomo vs SL;Puerta innovación;Formación;18-06-2024;10:00;13:00;Miguel Ángel Sanz y Mónica Cuadra;Emprendedores;0;
Meetup WordPress: WordPress & Growth Hacking;Puerta innovación;Taller;13-06-2024;18:30;20:30;Miguel Rodríguez;Emprendedores;0;
Conferencia Everything Everywhere All with kdb+/q i;iLAB;Taller;12-06-2024;18:30;;;Emprendedores;0;
Go Tell: Fyne.io, Building Apps that work Anywhere;Puerta innovación;Taller;05-06-2024;19:00;20:50;Andy Williams;Emprendedores;0;
AIL Train - Descubre el poder de la visualización de datos con Power BI;Aravaca Innovation Lab;Taller;04-06-2024;16:00;18:00;Ainara Celaya;Empresas;0;"¿Te gustaría descubrir el poder de la visualización de datos con una de las herramientas más importantes del mercado? Únete a nuestro taller ""AIL Train - Descubre el Poder de la Visualización de Datos con Power BI” para explorar el impacto transformador de la visualización de datos con Microsoft Power BI. Durante la sesión, exploraremos las principales y más comunes transformaciones de datos que puedes realizar con Power BI, desde la limpieza y preparación hasta la transformación. Además, te guiaremos a través de las herramientas y funcionalidades que ofrece Power BI para crear visualizaciones impactantes y efectivas en forma de dashboards interactivos. Aprenderás cómo diseñar y personalizar tus propios dashboards para comunicar información de manera clara y convincente. Este taller está diseñado para personas que están dando sus primeros pasos en el mundo del análisis de datos. Aprenderás los fundamentos esenciales y adquirirás las habilidades necesarias para comenzar a utilizar Power BI de manera efectiva, sin importar tu nivel de experiencia previa. Si tienes interés en este evento, inscríbete aquí."
WebinAIL - Justificación de proyectos a través de Open Calls;Aravaca Innovation Lab;Formación;31-05-2024;17:00;18:00;Antonio Collado;Empresas;0;Este webinar titulado “Justificación de proyectos a través de Open Calls” se enmarca en una serie de formaciones llamada Open Calls. Las personas que asistan a esta serie de formaciones online conocerán las fuentes de financiación que ofrecen las Open Calls de la Unión Europea. Las formaciones no están planteadas para realizar un seguimiento lineal de la serie, pudiendo acudir a una sesión sin la necesidad de haber asistido a la anterior. Sin embargo, el conjunto de formaciones ofrecerá una visión global de las ventajas de las Open Calls como fórmula de financiación y los recursos necesarios para la preparación de propuestas y justificación de proyectos. Si estás interesado en este webinar, inscríbete aquí.
Consulta preliminar al mercado: Jornada de presentación del informe de conclusiones;Puerta innovación;Conferencia;31-05-2024;12:00;14:00;Ángel Niño, Borja Carabante, Juan Carlos Álvarez, Juan Corro, Marta Parro, Rebeca Herrera, María Serena Gómez, Ana Reguero;Empresas;58;
Consulta preliminar al mercado: Jornada de presentación del informe de conclusiones;Puerta innovación;Workshop;31-05-2024;12:00;14:00;Ángel Niño, Borja Carabante, Juan Carlos Álvarez, Juan Corro, Marta Parro, Rebeca Herrera, María Serena Gómez, Ana Reguero;Entrepreneurs;58;
I Edición Premios EUDE DIGITAL;iLAB;Entrega de premios;30-05-2024;10:00;15:00;;Emprendedores;0;
CiberAIL - Fortalece tu Estrategia de Ciberseguridad: Análisis Preventivo, Mitigación y Concienciación;Aravaca Innovation Lab;Taller;28-05-2024;10:00;13:15;Alexander Bernal / Juan Manuel Criado / Raúl Guillén;Emprendedores;0;"¡Prepárate para una nueva jornada única en Aravaca Innovation Lab! Te invitamos a nuestra sesión ""Fortalece tu Estrategia de Ciberseguridad: Análisis Preventivo, Mitigación y Concienciación"", donde te proporcionaremos herramientas y conocimientos esenciales para proteger tu red y tus datos. Durante este taller, profesionales de Redborder compartirán conocimientos clave sobre análisis preventivo de ciberseguridad para combatir amenazas como malware y ransomware. Además, contaremos con la colaboración de Xeoris, que aportará su experiencia en concienciación y sistemas regulatorios relacionados con ciberseguridad y ciberseguro. Aprende cómo establecer prácticas sólidas de concienciación en tu organización y cumplir con los estándares regulatorios para una mayor protección. No te pierdas esta oportunidad única de fortalecer tu estrategia de ciberseguridad con conocimientos prácticos y soluciones avanzadas. ¡Inscríbete ya para asegurar tu lugar en este evento imprescindible!   Agenda de la jornada: 10:00 - 10:15 | Bienvenida y Apertura: Presentación de Cyber Madrid - Clúster de Ciberseguridad de Madrid Raúl Guillén, delegado de Relaciones Institucionales de CyberMadrid. 10:15 - 11:15 | Estrategias Preventivas de Redborder para el Análisis y Mitigación de Amenazas Avanzadas Alexander Bernal, Business Development Manager de Redborder - Una sesión detallada sobre cómo Redborder utiliza análisis preventivo para identificar vulnerabilidades, detectar malware y ransomware, y aplicar estrategias efectivas para mitigar estos riesgos. 11:15 - 11:30 | Sesión de Preguntas y Respuestas Espacio para que los asistentes hagan preguntas y reciban respuestas sobre la presentación de Redborder. 11:30 - 11:45 | Pausa Coffee 11:45 - 12:45 | Concienciación en Seguridad y Cumplimiento de Sistemas Regulatorio Juan Manuel Criado, CEO de Xeoris - Esta empresa aborda la importancia de la concienciación en seguridad dentro de las organizaciones y cómo asegurar el cumplimiento de los sistemas regulatorios para mantener una postura de ciberseguridad robusta. 12:45 - 13:00 | Sesión de Preguntas y Respuestas Espacio para que los asistentes hagan preguntas y reciban respuestas sobre la presentación de Xeoris. 13:00 - 13:15 | Clausura y Conclusiones Alex Bernal, Business Development Manager de Redborder - Resumen de los puntos clave discutidos, agradecimientos a los ponentes y asistentes, y cierre del evento. Si estás interesado en acudir a este evento, puedes inscribirte aquí."
Club de innovación abierta KM ZERO: Encuentro sobre Packaging Sostenible en Madrid;iLAB;Taller;28-05-2024;11:00;14:00;;Emprendedores;0;
WebinAIL – Preparación de propuestas a Open Calls;Aravaca Innovation Lab;Workshop;23-05-2024;17:00;18:00;Alejandro Ramos;Entrepreneurs;6;Este webinar titulado “Preparación de propuestas a Open Calls” se enmarca en una serie de formaciones llamada Open Calls. Las personas que asistan a esta serie de formaciones online conocerán las fuentes de financiación que ofrecen las Open Calls de la Unión Europea. Las formaciones no están planteadas para realizar un seguimiento lineal de la serie, pudiendo acudir a una sesión sin la necesidad de haber asistido a la anterior. Sin embargo, el conjunto de formaciones ofrecerá una visión global de las ventajas de las Open Calls como fórmula de financiación y los recursos necesarios para la preparación de propuestas y justificación de proyectos.   Si estás interesado en este webinar, inscríbete aquí.
WebinAIL - Preparación de propuestas a Open Calls;Aravaca Innovation Lab;Formación;23-05-2024;17:00;18:00;Alejandro Ramos;Empresas;0;Este webinar titulado “Preparación de propuestas a Open Calls” se enmarca en una serie de formaciones llamada Open Calls. Las personas que asistan a esta serie de formaciones online conocerán las fuentes de financiación que ofrecen las Open Calls de la Unión Europea. Las formaciones no están planteadas para realizar un seguimiento lineal de la serie, pudiendo acudir a una sesión sin la necesidad de haber asistido a la anterior. Sin embargo, el conjunto de formaciones ofrecerá una visión global de las ventajas de las Open Calls como fórmula de financiación y los recursos necesarios para la preparación de propuestas y justificación de proyectos.   Si estás interesado en este webinar, inscríbete aquí.
Data Ethics: Regulación y Estrategia. ¿Por dónde empiezo?_ONLINE;iLAB;Taller;23-05-2024;17:30;20:45;;Emprendedores;0;
Data Ethics: Regulación y Estrategia. ¿Por dónde empiezo?_ONLINE;iLAB;Workshop;23-05-2024;17:30;20:45;;Entrepreneurs;0;
Optimizando las Deducciones Fiscales por I+D+I: Estrategias para el Impuesto de Sociedades;iLAB;Taller;22-05-2024;13:00;14:00;Ibón Ausín y Montaña Sánchez;Emprendedores;17;
Meetup + Innova Table Talk: Marketplaces al descubierto;Puerta innovación;Conferencia;22-05-2024;18:30;20:30;Ángel Zinsel, Ignacio Valea, Luis Margolles, Jorge Bañón, Catalina Bohorquez;Emprendedores;4;
NSCoder Night Madrid: 'Sugerir funcionalidades con TipKit';Puerta innovación;Taller;22-05-2024;19:00;20:30;Misael Cuevas;Emprendedores;0;
AIL Train - Protege tu startup… ¡intelectualmente hablando!;Aravaca Innovation Lab;Formación;21-05-2024;17:00;18:30;Ana Arias;Emprendedores;0;Las startups, como empresas emergentes que buscan crear soluciones innovadoras y escalables para resolver problemas en el mercado, tienen algo especial, como una tecnología única o una idea genial que las hace diferentes a las demás, por lo que proteger su propiedad intelectual es uno de los aspectos más importantes a tener en cuenta. En este taller se abordarán los conceptos básicos de propiedad intelectual, así como los mecanismos de protección más óptimos y seguros para proteger tu startup y asegurar su éxito a largo plazo. Si estás interesado en acudir a este evento, puedes inscribirte aquí.
FormaDOOR: Método Boost para crecer en Youtube;Puerta innovación;Formación;21-05-2024;18:30;19:30;Ricardo Miranda, especialista en SEO de Youtube y CEO de Miravisión;Emprendedores;10;
WebinAIL - Identificación y selección de Open Calls aplicables a mi empresa;Aravaca Innovation Lab;Formación;16-05-2024;17:00;18:00;Candelaria García;Empresas;0;Este webinar titulado “Identificación y selección de Open Calls aplicables a mi empresa” se enmarca en una serie de formaciones llamada Open Calls. Las personas que asistan a esta serie de formaciones online conocerán las fuentes de financiación que ofrecen las Open Calls de la Unión Europea. Las formaciones no están planteadas para realizar un seguimiento lineal de la serie, pudiendo acudir a una sesión sin la necesidad de haber asistido a la anterior. Sin embargo, el conjunto de formaciones ofrecerá una visión global de las ventajas de las Open Calls como fórmula de financiación y los recursos necesarios para la preparación de propuestas y justificación de proyectos. Si tienes interés en este webinar, inscríbete aquí.
CharlAIL – ¿Cómo emprender en Economía Social?;Aravaca Innovation Lab;Conferencia;16-05-2024;11:00;12:00;Ana Fernández de Casadevante;Emprendedores;4;FECOMA es una Federación que representa y defiende los intereses de las cooperativas y de las entidades de la Economía Social de Madrid. Durante la charla, hablaremos de qué es la Economía Social, sus fórmulas jurídicas, cómo emprender en Economía Social, de las ayudas/ subvenciones y de los pasos a seguir. Si estás interesado en este evento, inscríbete aquí.
Meetup WordPress: Controla los estándares 2024 del diseño de páginas web;Puerta innovación;Taller;14-05-2024;18:30;20:30;Caco Martín;Emprendedores;0;
WebinAIL - Introducción a la financiación europea a través de Open Calls;Aravaca Innovation Lab;Formación;09-05-2024;17:00;18:00;Francisco Aranda;Empresas;0;Este webinar titulado “Introducción a la financiación europea a través de Open Calls” se enmarca en una serie de formaciones llamada Open Calls. Las personas que asistan a esta serie de formaciones online conocerán las fuentes de financiación que ofrecen las Open Calls de la Unión Europea. Las formaciones no están planteadas para realizar un seguimiento lineal de la serie, pudiendo acudir a una sesión sin la necesidad de haber asistido a la anterior. Sin embargo, el conjunto de formaciones ofrecerá una visión global de las ventajas de las Open Calls como fórmula de financiación y los recursos necesarios para la preparación de propuestas y justificación de proyectos. Si tienes interés en este webinar, inscríbete aquí.
WorkDOOR: El impacto de los datos en la transformación digital;Puerta innovación;Formación;09-05-2024;18:30;19:30;Paloma Muñoz, Ingeniera de minas y experta en datos y marketing digital;Emprendedores;6;
Taller GoTell: La kata Gilded Rose;Puerta innovación;Taller;08-05-2024;19:00;20:50;Jorge Ortiz;Emprendedores;0;
Charla + Networking: de desconocido a cliente fiel, acelera tus ventas;iLAB;Taller;07-05-2024;19:00;20:30;Luis Guillermo Velandia;Emprendedores;7;
FormaDOOR: Innovando con Inteligencia Artificial en Amazon Web Services (AWS);Puerta innovación;Formación;07-05-2024;18:30;19:30;Iván Fernández, Senior Solutions Architect en AWS;Emprendedores;6;
WebinAIL - Primeros pasos y claves para la gestión de proyectos cofinanciados públicamente;Aravaca Innovation Lab;Formación;25-04-2024;17:00;18:00;Silvia de la Maza;Empresas;0;Este webinar titulado “Primeros pasos y claves para la gestión de proyectos cofinanciados públicamente” se enmarca en una serie de formaciones llamada Proposals for innovation. Las personas que asistan a esta serie de formaciones online conocerán que tipo de condiciones cumple una propuesta de innovación y qué puntos clave debe reunir. Las formaciones no están planteadas para realizar un seguimiento lineal de la serie, pudiendo acudir a una sesión sin la necesidad de haber asistido a la anterior. Sin embargo, el conjunto de formaciones ofrecerá herramientas y recursos suficientes para ser capaz de identificar, evaluar y preparar diferentes programas de financiación de la innovación. Si tienes interés en este webinar, inscríbete aquí.
"Beersstorming ""El impacto del Halving: Bitcoin y el nuevo dinero""";iLAB;Conferencia;25-04-2024;18:00;20:45;Aleix Tuset Badia, Javier Molina Jordà, Javier Pastor Moreno;Emprendedores;0;
Everything Everywhere All with kdb+/q i;iLAB;Taller;24-04-2024;18:30;20:00;;Emprendedores;0;
FormaDOOR: IA generativa aplicada, ¿qué puede hacer por ti?;Puerta innovación;Formación;24-04-2024;18:30;20:30;"Adolfo Vera, Alberto Palomar Robledo, Crystian ""Pusher"" Bietti";Emprendedores;27;
¿Cómo promover (for real) el equilibrio vida-trabajo y la salud mental desde el liderazgo de RRHH?;iLAB;Taller;23-04-2024;10:00;12:30;Rebeca Calvo y Emmanuel Djengue;Emprendedores;0;
Emprendimiento Sostenible. Un proyecto para jóvenes;Puerta innovación;Formación;22-04-2024;17:00;20:50;Eva Martínez y Laura Montermini;Emprendedores;0;
Taller Technovation Girls - 19 de abril;Aravaca Innovation Lab;Formación;19-04-2024;18:00;20:00;Technovation Girls Madrid;Estudiantes;0;La misión de Technovation Girls es inspirar a niñas y jóvenes entre 8 y 18 años, para que se conviertan en líderes e innovadoras. Con la ayuda de mentores voluntarios, las niñas desarrollan proyectos que buscan resolver problemas de su entorno mediante el uso de la tecnología y el emprendimiento. Las niñas trabajan en equipo para identificar y resolver problemas de su comunidad usando la tecnología. En el proceso desarrollan habilidades de colaboración, resolución de problemas y liderazgo. Aunque las inscripciones se encuentran cerradas, si quieres conocer más, ponte en contacto con nosotros en: aravacainnolab@madrid.es
WebinAIL - Procesos y protocolos de evaluación de propuestas de innovación;Aravaca Innovation Lab;Formación;18-04-2024;17:00;18:00;Antonio Collado;Empresas;0;Este webinar titulado “Procesos y protocolos de evaluación de propuestas de innovación” se enmarca en una serie de formaciones llamada Proposals for innovation. Las personas que asistan a esta serie de formaciones online conocerán que tipo de condiciones cumple una propuesta de innovación y qué puntos clave debe reunir. Las formaciones no están planteadas para realizar un seguimiento lineal de la serie, pudiendo acudir a una sesión sin la necesidad de haber asistido a la anterior. Sin embargo, el conjunto de formaciones ofrecerá herramientas y recursos suficientes para ser capaz de identificar, evaluar y preparar diferentes programas de financiación de la innovación. Si tienes interés en este webinar, inscríbete aquí.
AperiTech Madrid - Frontend made easy;iLAB;Taller;17-04-2024;18:30;20:30;Sergio Pedrero Benedi, Bezael Pérez y Javier Vélez Reyes;Emprendedores;0;
Meetup Elementor ¡Pura vida! De la teoría a la práctica;Puerta innovación;Formación;17-04-2024;18:30;20:30;Lidia Arroyo y Sammy Arburola;Emprendedores;0;
NSCoder Night Madrid: 'Uso y disfrute de Charles Proxy';Puerta innovación;Taller;17-04-2024;19:00;20:30;Pedro Muñoz Cabrera;Emprendedores;0;
AIL Train - PM²: la metodología de gestión de proyectos de la Comisión Europea;Aravaca Innovation Lab;Formación;16-04-2024;17:30;18:30;Candelaria García Campos;Empresas;0;¡Potencia tu proyecto con PM²! Descubre la metodología de gestión de proyectos de la Comisión Europea con soluciones simples y prácticas para mejorar la gestión de proyectos y recursos de las organizaciones. En este taller se abordarán los principios fundamentales de PM², su metodología y los pasos para su implementación y sus herramientas y artefactos clave que facilitan de manera práctica y sencilla la gestión eficiente de proyectos. Tras la finalización del taller, las personas asistentes estarán listas para comenzar a implantar la metodología PM² en sus propios proyectos y así conseguir una ejecución exitosa de los mismos. Si tienes interés en este evento, puedes inscribirte aquí.  
EL RECLUTAMIENTO QUE ATRAE??;iLAB;Taller;16-04-2024;18:30;20:45;;Emprendedores;0;
Madrid-t place to be;iLAB;Taller;16-04-2024;11:00;13:00;;Emprendedores;0;
Taller Technovation Girls - 12 de abril;Aravaca Innovation Lab;Formación;12-04-2024;18:00;20:00;Technovation Girls Madrid;Estudiantes;0;La misión de Technovation Girls es inspirar a niñas y jóvenes entre 8 y 18 años, para que se conviertan en líderes e innovadoras. Con la ayuda de mentores voluntarios, las niñas desarrollan proyectos que buscan resolver problemas de su entorno mediante el uso de la tecnología y el emprendimiento. Las niñas trabajan en equipo para identificar y resolver problemas de su comunidad usando la tecnología. En el proceso desarrollan habilidades de colaboración, resolución de problemas y liderazgo. Aunque las inscripciones se encuentran cerradas, si quieres conocer más, ponte en contacto con nosotros en: aravacainnolab@madrid.es
WebinAIL - Recursos para la identificación y selección de socios y proveedores para la innovación;Aravaca Innovation Lab;Formación;11-04-2024;17:00;18:00;Ana Arias;Empresas;0;Este webinar titulado “Recursos para la identificación y selección de socios y proveedores para la innovación” se enmarca en una serie de formaciones llamada Proposals for innovation. Las personas que asistan a esta serie de formaciones online conocerán que tipo de condiciones cumple una propuesta de innovación y qué puntos clave debe reunir. Las formaciones no están planteadas para realizar un seguimiento lineal de la serie, pudiendo acudir a una sesión sin la necesidad de haber asistido a la anterior. Sin embargo, el conjunto de formaciones ofrecerá herramientas y recursos suficientes para ser capaz de identificar, evaluar y preparar diferentes programas de financiación de la innovación.
2ª edición Premios Reimpulso;iLAB;Entrega de premios;10-04-2024;18:00;20:30;;Emprendedores;0;
PRESENTACIÓN APLICACIÓN VISITMADRIDGPT.COM;iLAB;Presentación de producto;10-04-2024;10:00;12:00;Almudena Maíllo del Valle, Concejal Delegada de Turismo, y Héctor Coronel Gutiérrez, Director de Turismo de Madrid Destino.;Emprendedores;0;
Fearless programming and reasoning with infinities;iLAB;Taller;09-04-2024;18:30;19:30;;Desarrolladores;0;
Datamecum: Q&A con Iván Vallés;Puerta innovación;Formación;09-04-2024;19:00;20:00;Iván Vallés;Emprendedores;0;
Conoce y aprende a utilizar herramientas para hacer tu día a día en Internet más seguro;Puerta innovación;Formación;08-04-2024;17:00;20:00;;Emprendedores;0;
Taller Technovation Girls - 5 de abril;Aravaca Innovation Lab;Formación;05-04-2024;18:00;20:00;Technovation Girls Madrid;Estudiantes;0;La misión de Technovation Girls es inspirar a niñas y jóvenes entre 8 y 18 años, para que se conviertan en líderes e innovadoras. Con la ayuda de mentores voluntarios, las niñas desarrollan proyectos que buscan resolver problemas de su entorno mediante el uso de la tecnología y el emprendimiento. Las niñas trabajan en equipo para identificar y resolver problemas de su comunidad usando la tecnología. En el proceso desarrollan habilidades de colaboración, resolución de problemas y liderazgo. Aunque las inscripciones se encuentran cerradas, si quieres conocer más, ponte en contacto con nosotros en: aravacainnolab@madrid.es
WebinAIL - Preparación de propuestas para la financiación de proyectos;Aravaca Innovation Lab;Formación;04-04-2024;17:00;18:00;Alejandro Ramos;Empresas;0;Este webinar titulado “Preparación de propuestas para la financiación de proyectos” se enmarca en una serie de formaciones llamada Proposals for innovation. Las personas que asistan a esta serie de formaciones online conocerán que tipo de condiciones cumple una propuesta de innovación y qué puntos clave debe reunir. Las formaciones no están planteadas para realizar un seguimiento lineal de la serie, pudiendo acudir a una sesión sin la necesidad de haber asistido a la anterior. Sin embargo, el conjunto de formaciones ofrecerá herramientas y recursos suficientes para ser capaz de identificar, evaluar y preparar diferentes programas de financiación de la innovación.
CiberAIL – Ciberseguridad y sistemas embebidos;Aravaca Innovation Lab;Conferencia;03-04-2024;17:00;18:00;Victor de la Hoz, Begoña Laibarra;Empresas;4;En el marco de la 4ª Conferencia Internacional sobre Safety y Cybersecurity que tendrá lugar los días 18 y 19 de abril en el Círculo de Bellas Artes de Madrid, en AIL acogemos una charla sobre ciberseguridad y sistemas embebidos. Estos sistemas son normalmente críticos desde un punto de vista de seguridad: un mal funcionamiento del sistema podría causar un daño a sus usuarios, pero también las amenazas de ciberseguridad pueden afectarles: estamos hablando por lo tanto de safety y security. La evolución y el crecimiento de los sistemas ciberfísicos y sus funciones, a menudo críticas, en dominios como la automoción, la aeronáutica o el ferrocarril entre otros, hacen necesario abordar los problemas cibernéticos y de seguridad por igual y de una forma integrada, a lo largo de todo el ciclo de vida del sistema. ¿Quieres saber más? Acompáñanos el día 3 de abril en esta interesante charla ofrecida por SQS.
Everything Everywhere All with kdb+/q i;iLAB;Taller;03-04-2024;17:30;20:30;;Emprendedores;0;
WorkDOOR: La vida secreta de una Gorrutina;Puerta innovación;Taller;03-04-2024;19:00;20:50;Jesús Espino, ingeniero principal en Mattermost;Emprendedores;0;
Conoce y aprende a utilizar herramientas para hacer tu día a día en Internet más seguro;Puerta innovación;Formación;03-04-2024;17:00;20:00;;Emprendedores;0;
Procesando documentos con ML + Visualización de grafos en Notebooks;iLAB;Taller;02-04-2024;19:00;20:30;Camilla Hemmer y Valery Briz;Emprendedores;0;
Conoce y aprende a utilizar herramientas para hacer tu día a día en Internet más seguro;Puerta innovación;Formación;02-04-2024;17:00;20:00;;Emprendedores;0;
Taller Technovation Girls - 22 de marzo;Aravaca Innovation Lab;Formación;22-03-2024;18:00;20:00;Technovation Girls Madrid;Estudiantes;0;La misión de Technovation Girls es inspirar a niñas y jóvenes entre 8 y 18 años, para que se conviertan en líderes e innovadoras. Con la ayuda de mentores voluntarios, las niñas desarrollan proyectos que buscan resolver problemas de su entorno mediante el uso de la tecnología y el emprendimiento. Las niñas trabajan en equipo para identificar y resolver problemas de su comunidad usando la tecnología. En el proceso desarrollan habilidades de colaboración, resolución de problemas y liderazgo. Aunque las inscripciones se encuentran cerradas, si quieres conocer más, ponte en contacto con nosotros en: aravacainnolab@madrid.es
WebinAIL - Herramientas para la identificación y selección de programas de financiación de la innovación;Aravaca Innovation Lab;Formación;21-03-2024;17:00;18:00;Candelaria García;Empresas;0;Este webinar titulado “Herramientas para la identificación y selección de programas de financiación de la innovación” se enmarca en una serie de formaciones llamada Proposals for innovation. Las personas que asistan a esta serie de formaciones online conocerán que tipo de condiciones cumple una propuesta de innovación y qué puntos clave debe reunir. Las formaciones no están planteadas para realizar un seguimiento lineal de la serie, pudiendo acudir a una sesión sin la necesidad de haber asistido a la anterior. Sin embargo, el conjunto de formaciones ofrecerá herramientas y recursos suficientes para ser capaz de identificar, evaluar y preparar diferentes programas de financiación de la innovación.
BeersStorming: ¿cómo invertir en empresas tecnológicas?;iLAB;Conferencia;21-03-2024;18:30;20:45;;Emprendedores;0;
Taller WordPress Madrid: Comienza a ser rebelde y a decir que NO;iLAB;Taller;20-03-2024;18:30;20:30;Ibon Azkoitia;Emprendedores;0;
Innova Table Talk: ¿Por qué la tecnología debería tener en cuenta la salud mental de los trabajadores?;Puerta innovación;Conferencia;20-03-2024;17:00;18:30;"Rebeca Calvo Head de psicología y bienestar en Mentiness; Paola García (MSC) cofundadora de StressTech; Francisco Tavira, CEO y fundador de Loomee; Rob Cecilio (MSc) CEO y cofundador de Dendron Neurotechnologies; Diego Verhamme, CEO y cofundador de Emotions; y David Garrido, CEO y cofundador de Ualibi";Emprendedores;8;
Debate Madrid Innovation Women 2024;iLAB;Taller;19-03-2024;10:00;14:30;;Emprendedores;74;
Conoce Aravaca Innovation Lab - Jornada de puertas abiertas para jóvenes;Aravaca Innovation Lab;Conferencia;18-03-2024;16:00;20:00;Aravaca Innovation Lab;Estudiantes;0;Aravaca Innovation Lab es un centro de innovación del Ayuntamiento de Madrid que tiene el objetivo de aglutinar e integrar a la comunidad local e incrementar el conocimiento y la capacidad de ésta para intercambiar información y experiencias de innovación y emprendimiento. Si quieres conocer más sobre Aravaca Innovation Lab, acércate al centro y podrás descubrir las actividades que organizamos entorno a la innovación y el emprendimiento, proponer temáticas sobre las que te gustaría que trabajáramos, descubrir a nuestro ganador del Hackathon Digital europeo y conocer los proyectos innovadores de las startups alojadas en el centro. ¡Te esperamos!
Conoce y aprende a utilizar herramientas para hacer tu día a día en Internet más seguro;Puerta innovación;Formación;18-03-2024;17:00;20:00;;Emprendedores;0;
Taller Technovation Girls - 15 de marzo;Aravaca Innovation Lab;Formación;15-03-2024;18:00;20:00;Technovation Girls Madrid;Estudiantes;0;La misión de Technovation Girls es inspirar a niñas y jóvenes entre 8 y 18 años, para que se conviertan en líderes e innovadoras. Con la ayuda de mentores voluntarios, las niñas desarrollan proyectos que buscan resolver problemas de su entorno mediante el uso de la tecnología y el emprendimiento. Las niñas trabajan en equipo para identificar y resolver problemas de su comunidad usando la tecnología. En el proceso desarrollan habilidades de colaboración, resolución de problemas y liderazgo. Aunque las inscripciones se encuentran cerradas, si quieres conocer más, ponte en contacto con nosotros en: aravacainnolab@madrid.es
WebinAIL - Elementos clave para la evaluación de necesidades de innovación;Aravaca Innovation Lab;Formación;14-03-2024;17:00;18:00;Igor Suárez;Empresas;0;Este webinar titulado “Elementos clave para la evaluación de necesidades de innovación” se enmarca en una serie de formaciones llamada Proposals for innovation. Las personas que asistan a esta serie de formaciones online conocerán que tipo de condiciones cumple una propuesta de innovación y qué puntos clave debe reunir. Las formaciones no están planteadas para realizar un seguimiento lineal de la serie, pudiendo acudir a una sesión sin la necesidad de haber asistido a la anterior. Sin embargo, el conjunto de formaciones ofrecerá herramientas y recursos suficientes para ser capaz de identificar, evaluar y preparar diferentes programas de financiación de la innovación.
Poyecto I+D+i SecBluRed: Aproximación holística a la ciberseguridad en el IoT Industrial;iLAB;Conferencia;14-03-2024;09:30;14:00;;Desarrolladores;0;
